id,Prioridad,Cantidad,Ventas,Descuento,Modo_envio,Margen,Utilidad,Precio_venta,Precio_costo,Costo_envio,Nombre_cliente,Region,Segmento,Categoria,Subcategoria,Producto,Empaque,fecha_envio
1187,Baja,31,"1.843,88","0,000",Aereo regular,"0,50","921,94","59,48","29,74","6,64",Ken Black,Paraguay,Consumidor,Elementos de oficina,Organizadores,Acco Perma 2700 Stacking Storage Drawers,Caja pequena,5/10/2020
1188,Normal,46,"813,34","0,010",Aereo regular,"0,49","394,2844","17,86","9,11","2,15",Roland Murray,Bolivia,Oficina en casa,Elementos de oficina,Papel,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",Bolsa,7/05/2020
1189,Normal,43,"670,90","0,010",Aereo regular,"0,37","243,9132","15,76","9,93","1,09",Quincy Jones,Colombia,Oficina en casa,Elementos de oficina,Boligrafos,Peel-Off China Markers,Bolsa,1/07/2019
1190,Normal,38,"148,58","0,080",Aereo regular,"0,48","64,6","4,25","2,21","1,00",Quincy Jones,Colombia,Oficina en casa,Elementos de oficina,Boligrafos,"Quartet Alpha White Chalk, 12/Pack",Bolsa,1/07/2019
1191,Alta,50,"4.648,14","0,070",Aereo regular,"0,48","2049,14","99,96","51,98","10,17",Rose O'Brian,Argentina,Oficina en casa,Tecnologia,Maquinas de oficina,Canon MP25DIII Desktop Whisper-Quiet Printing Calculator,Caja mediana,10/03/2017
1192,Alta,11,"1.233,24","0,100",Terrestre,"0,35","342,573","124,57","80,97","33,60",Rose O'Brian,Argentina,Oficina en casa,Tecnologia,Maquinas de oficina,Lexmark Z25 Color Inkjet Printer,Caja redonda,11/03/2017
1193,Critica,17,"120,38","0,030",Aereo regular,"0,54","63,257","7,30","3,36","6,27",Tamara Dahlen,Argentina,Corporativo,Elementos de oficina,Carpetas,Cardinal Poly Pocket Divider Pockets for Ring Binders,Caja pequena,5/01/2017
1194,Critica,42,"254,28","0,070",Aereo expreso,"0,43","98,4606","6,51","3,71","1,93",Tamara Dahlen,Argentina,Corporativo,Elementos de oficina,Papel,"""While you Were Out"" Message Book, One Form per Page",Bolsa,6/01/2017
1195,Alta,44,"4.400,73","0,030",Aereo regular,"0,36","1497,1748","103,11","65,99","5,31",Resi Polking,Bolivia,Negocio,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,19/08/2019
1196,Critica,5,"542,04","0,090",Aereo regular,"0,53","262,0915","119,13","55,99","5,00",Sally Matthias,Colombia,Oficina en casa,Tecnologia,Telefonos,Accessory36,Paquete pequeno,22/10/2019
1197,Baja,32,"4.312,96","0,000",Aereo expreso,"0,41","1768,32","134,78","79,52","48,20",Thomas Brumley,Bolivia,Consumidor,Muebles,Mobiliario,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Caja mediana,15/08/2020
1198,Baja,25,"5.482,79","0,060",Aereo expreso,"0,46","2333,035","233,31","125,99","3,00",Thomas Brumley,Bolivia,Consumidor,Tecnologia,Telefonos,270c,Caja pequena,12/08/2020
1199,Normal,15,"3.129,40","0,070",Aereo regular,"0,45","1278,7035","224,33","123,38","24,49",Suzanne McNair,Paraguay,Negocio,Elementos de oficina,Accesorios,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,Caja larga,2/02/2019
1200,Regular,6,"1.826,95","0,070",Aereo regular,"0,41","667,9278","327,41","193,17","19,99",William Brown,Paraguay,Corporativo,Elementos de oficina,Organizadores,Fellowes Staxonsteel Drawer Files,Caja pequena,21/12/2020
1201,Regular,17,"877,82","0,020",Aereo regular,"0,42","358,2954","52,69","30,56","2,99",William Brown,Paraguay,Corporativo,Elementos de oficina,Carpetas,Surelock Post Binders,Caja pequena,23/12/2020
1202,Baja,14,"2.535,56","0,080",Aereo regular,"0,36","771,6968","196,86","125,99","4,20",Natalie Webber,Colombia,Consumidor,Tecnologia,Telefonos,i1000plus,Caja pequena,4/03/2018
1203,Baja,19,"744,01","0,040",Aereo regular,"0,44","310,0496","40,79","22,84","11,54",Natalie Webber,Colombia,Consumidor,Elementos de oficina,Papel,Xerox 1964,Caja pequena,27/02/2018
1204,Baja,39,"1.319,76","0,100",Aereo regular,"0,53","630,63","37,60","17,67","8,99",Giulietta Dortch,Peru,Negocio,Muebles,Mobiliario,"Executive Impressions 12"" Wall Clock",Paquete pequeno,6/02/2020
1205,Baja,40,"6.111,60","0,000",Aereo regular,"0,47","2872,4","152,79","80,98","35,00",Nicole Hansen,Ecuador,Negocio,Elementos de oficina,Organizadores,Carina Double Wide Media Storage Towers in Natural & Black,Caja larga,8/05/2020
1206,Alta,1,"20,76","0,080",Aereo regular,"0,44","8,1244","22,57","12,64","4,98",Ken Lonsdale,Paraguay,Consumidor,Muebles,Mobiliario,Nu-Dell Executive Frame,Paquete pequeno,9/11/2018
1207,Alta,45,"10.966,03","0,080",Aereo regular,"0,43","4171,932","264,88","150,98","13,99",Ken Lonsdale,Colombia,Consumidor,Tecnologia,Maquinas de oficina,Canon MP41DH Printing Calculator,Caja mediana,9/11/2018
1208,Critica,12,"231,76","0,050",Aereo regular,"0,40","85,362","20,33","12,20","6,02",James Lanier,Argentina,Corporativo,Muebles,Mobiliario,Advantus Panel Wall Certificate Holder - 8.5x11,Paquete pequeno,14/10/2017
1209,Baja,3,"326,55","0,020",Aereo regular,"0,46","146,6058","111,07","59,98","3,99",Cindy Chapman,Peru,Corporativo,Elementos de oficina,Accesorios,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Caja pequena,6/02/2017
1210,Baja,34,"363,44","0,030",Aereo regular,"0,53","187,3196","11,02","5,18","5,74",Cindy Chapman,Peru,Corporativo,Elementos de oficina,Carpetas,Wilson Jones Impact Binders,Caja pequena,1/02/2017
1211,Regular,15,"815,38","0,070",Aereo regular,"0,47","350,6775","58,45","30,98","5,09",Mathew Reese,Chile,Negocio,Elementos de oficina,Papel,Xerox 19,Caja pequena,6/03/2018
1212,Baja,15,"284,06","0,090",Aereo expreso,"0,52","134,2065","20,81","9,99","6,24",Barry Pond,Peru,Consumidor,Tecnologia,Maquinas de oficina,Canon F603 Scientific Calculator,Caja mediana,27/08/2019
1213,Alta,27,"302,16","0,050",Aereo regular,"0,45","127,197","11,78","6,48","5,94",Georgia Rosenberg,Bolivia,Consumidor,Elementos de oficina,Papel,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Caja pequena,21/06/2019
1214,Normal,14,"285,73","0,040",Aereo regular,"0,53","145,8744","21,26","9,99","11,59",Tony Molinari,Peru,Corporativo,Elementos de oficina,Papel,Hammermill Color Copier Paper (28Lb. and 96 Bright),Caja pequena,21/05/2017
1215,Alta,37,"3.102,67","0,040",Aereo regular,"0,51","1519,072","87,35","42,80","2,99",Lori Olson,Colombia,Consumidor,Elementos de oficina,Carpetas,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",Caja pequena,8/10/2018
1216,Alta,30,"1.296,07","0,060",Aereo regular,"0,50","606,672","45,96","22,98","7,58",Lori Olson,Colombia,Consumidor,Muebles,Mobiliario,"Seth Thomas 12"" Clock w/ Goldtone Case",Caja pequena,9/10/2018
1217,Normal,46,"7.921,57","0,070",Aereo expreso,"0,46","3322,0326","185,17","99,99","19,99",Christine Phan,Argentina,Negocio,Tecnologia,Perifericos,US Robotics 56K V.92 External Faxmodem,Caja pequena,7/06/2018
1218,Normal,15,"2.455,74","0,010",Aereo regular,"0,48","1165,8945","165,37","85,99","1,25",Christine Phan,Argentina,Negocio,Tecnologia,Telefonos,Accessory8,Paquete pequeno,7/06/2018
1219,Baja,15,"1.275,90","0,000",Aereo regular,"0,53","676,2","85,06","39,98","4,00",Jessica Myrick,Argentina,Negocio,Tecnologia,Perifericos,Microsoft Natural Keyboard Elite,Caja pequena,3/07/2019
1220,Baja,48,"7.948,80","0,080",Terrestre,"0,44","3110,4","180,00","100,80","60,00",Jessica Myrick,Bolivia,Negocio,Muebles,Mesas,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Caja redonda,3/07/2019
1221,Alta,3,"844,87","0,060",Aereo regular,"0,53","422,442","299,60","140,81","24,49",Shahid Shariari,Bolivia,Corporativo,Muebles,Tapetes,Hon Olson Stacker Stools,Caja larga,13/11/2018
1222,Alta,14,"4.428,66","0,080",Aereo regular,"0,43","1684,7992","343,84","195,99","4,20",Shahid Shariari,Bolivia,Corporativo,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,14/11/2018
1223,Alta,18,"3.439,62","0,000",Aereo regular,"0,55","1891,8","191,09","85,99","2,79",Shahid Shariari,Bolivia,Corporativo,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,13/11/2018
1224,Normal,41,"279,65","0,020",Aereo expreso,"0,47","128,3628","6,96","3,69","0,50",Stewart Visinsky,Paraguay,Corporativo,Elementos de oficina,Etiquetas,Avery 52,Caja pequena,30/05/2019
1225,Baja,36,"2.522,34","0,100",Aereo regular,"0,48","1065,06","77,85","40,48","19,99",Christopher Schild,Colombia,Corporativo,Tecnologia,Perifericos,Keytronic Designer 104- Key Black Keyboard,Caja pequena,9/04/2017
1226,Alta,5,"15,18","0,080",Aereo expreso,"0,43","5,78","3,30","1,88","1,49",Beth Paige,Ecuador,Consumidor,Elementos de oficina,Carpetas,Staples General Use 3-Ring Binders,Caja pequena,18/05/2019
1227,Alta,41,"419,55","0,100",Aereo expreso,"0,43","153,873","11,37","6,48","5,86",Beth Paige,Peru,Consumidor,Elementos de oficina,Papel,Xerox 1904,Caja pequena,18/05/2019
1228,Alta,35,"7.320,03","0,080",Aereo expreso,"0,55","3739,526","227,33","102,30","21,26",Beth Paige,Peru,Consumidor,Muebles,Mobiliario,Luxo Professional Combination Clamp-On Lamps,Caja larga,18/05/2019
1229,Alta,42,"436,30","0,070",Aereo regular,"0,42","164,1402","11,17","6,48","8,19",Beth Paige,Peru,Consumidor,Elementos de oficina,Papel,Xerox 217,Caja pequena,18/05/2019
1230,Alta,46,"183,07","0,010",Aereo regular,"0,53","96,1308","4,02","1,89","0,76",Beth Paige,Peru,Consumidor,Elementos de oficina,Ligas,Revere Boxed Rubber Bands by Revere,Bolsa,19/05/2019
1231,Baja,13,"1.788,70","0,020",Aereo regular,"0,53","930,826","140,40","65,99","8,99",Tanja Norvell,Paraguay,Corporativo,Tecnologia,Telefonos,SC-3160,Caja pequena,6/06/2019
1232,Baja,40,"33.881,47","0,040",Aereo regular,"0,49","15881,872","882,33","449,99","24,49",Tony Sayre,Bolivia,Negocio,Tecnologia,Copiadoras,Canon PC940 Copier,Caja larga,5/07/2017
1233,Baja,20,"192,65","0,010",Aereo regular,"0,40","75,854","9,73","5,84","1,20",Tony Sayre,Bolivia,Negocio,Elementos de oficina,Boligrafos,Newell 312,Bolsa,10/07/2017
1234,Baja,37,"3.654,69","0,070",Aereo regular,"0,52","1768,4261","106,21","50,98","13,66",Linda Southworth,Paraguay,Consumidor,Elementos de oficina,Accesorios,Eureka The Boss Cordless Rechargeable Stick Vac,Caja pequena,7/01/2018
1235,Baja,12,"480,43","0,010",Aereo regular,"0,45","213,5472","40,44","22,24","1,99",Linda Southworth,Paraguay,Consumidor,Tecnologia,Perifericos,"Verbatim DVD-R, 3.95GB, SR, Mitsubishi Branded, Jewel",Paquete pequeno,5/01/2018
1236,Baja,13,"316,24","0,040",Aereo regular,"0,47","141,6532","25,34","13,43","5,50",Linda Southworth,Paraguay,Consumidor,Elementos de oficina,Organizadores,"Fellowes Personal Hanging Folder Files, Navy",Caja pequena,8/01/2018
1237,Alta,28,"2.678,48","0,000",Aereo regular,"0,42","1125,04","95,66","55,48","14,30",Julia Barnett,Peru,Corporativo,Elementos de oficina,Papel,Xerox 194,Caja pequena,14/06/2017
1238,Normal,44,"5.000,42","0,070",Aereo regular,"0,46","2096,864","122,20","65,99","2,79",Katherine Murray,Colombia,Oficina en casa,Tecnologia,Telefonos,V8162,Caja pequena,2/06/2020
1239,Normal,2,"19,89","0,030",Aereo regular,"0,47","9,025","10,25","5,43","0,95",Katherine Murray,Chile,Oficina en casa,Elementos de oficina,Papel,"Wirebound Message Book, 4 per Page",Bolsa,3/06/2020
1240,Normal,30,"1.834,01","0,090",Aereo regular,"0,39","604,614","67,18","40,98","6,50",Katherine Murray,Chile,Oficina en casa,Tecnologia,Perifericos,Microsoft Office Keyboard,Caja pequena,4/06/2020
1241,Baja,30,"2.229,84","0,050",Aereo regular,"0,54","1150,14","78,24","35,99","0,99",Roy French,Colombia,Consumidor,Tecnologia,Telefonos,Accessory31,Paquete pequeno,11/09/2019
1242,Baja,48,"29.389,36","0,040",Terrestre,"0,52","14694,6432","637,79","306,14","26,53",Michael Nguyen,Argentina,Negocio,Tecnologia,Maquinas de oficina,Okidata ML184 Turbo Dot Matrix Printers,Caja redonda,25/12/2018
1243,Critica,20,"278,39","0,010",Aereo regular,"0,46","126,588","14,06","7,59","4,00",Michael Granlund,Colombia,Oficina en casa,Muebles,Mobiliario,"Master Giant Foot Doorstop, Safety Yellow",Bolsa,4/11/2017
1244,Alta,19,"3.164,79","0,060",Aereo regular,"0,44","1279,422","177,20","99,23","8,99",Eric Barreto,Colombia,Consumidor,Muebles,Mobiliario,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Paquete pequeno,23/03/2019
1245,Alta,32,"211,16","0,060",Aereo regular,"0,44","85,4016","7,02","3,93","0,99",Eric Barreto,Colombia,Consumidor,Elementos de oficina,Ligas,Staples Vinyl Coated Paper Clips,Bolsa,21/03/2019
1246,Critica,50,"32.871,36","0,030",Aereo regular,"0,55","17621,86","677,76","304,99","19,99",Russell Applegate,Argentina,Oficina en casa,Elementos de oficina,Carpetas,Ibico Hi-Tech Manual Binding System,Caja pequena,24/06/2017
1247,Critica,31,"2.863,88","0,090",Aereo regular,"0,35","818,1892","101,52","65,99","8,99",Russell Applegate,Argentina,Oficina en casa,Tecnologia,Telefonos,V 3600 Series,Caja pequena,24/06/2017
1248,Critica,8,"1.649,30","0,100",Aereo expreso,"0,45","641,384","229,07","125,99","8,80",Steven Roelle,Bolivia,Negocio,Tecnologia,Telefonos,StarTAC 6500,Caja pequena,24/05/2018
1249,Alta,42,"1.121,99","0,050",Aereo regular,"0,49","519,708","28,12","14,34","5,00",Adam Hart,Peru,Corporativo,Muebles,Mobiliario,Nu-Dell Leatherette Frames,Paquete pequeno,12/11/2018
1250,Alta,44,"2.726,24","0,000",Aereo regular,"0,50","1363,12","61,96","30,98","8,74",Adam Hart,Peru,Corporativo,Elementos de oficina,Papel,Xerox 1979,Caja pequena,12/11/2018
1251,Regular,33,"6.197,40","0,000",Aereo expreso,"0,46","2850,87","187,80","101,41","35,00",Jeremy Pistek,Peru,Corporativo,Elementos de oficina,Organizadores,Tennsco Regal Shelving Units,Caja larga,25/07/2017
1252,Regular,8,"1.191,60","0,100",Aereo regular,"0,42","423,68","165,50","95,99","4,90",Jeremy Pistek,Peru,Corporativo,Tecnologia,Telefonos,T60,Caja pequena,25/07/2017
1253,Normal,36,"548,21","0,100",Aereo regular,"0,52","255,888","16,92","8,12","2,83",Cyra Reiten,Peru,Consumidor,Tecnologia,Perifericos,"Imation Neon Mac Format Diskettes, 10/Pack",Paquete pequeno,9/12/2019
1254,Alta,23,"440,62","0,030",Aereo regular,"0,37","154,5025","19,75","12,44","6,27",Tracy Hopkins,Paraguay,Negocio,Elementos de oficina,Organizadores,Eldon Simplefile Box Office,Caja mediana,12/06/2019
1255,Critica,27,"550,41","0,070",Aereo expreso,"0,36","171,6012","21,92","14,03","9,37",Matt Collins,Bolivia,Consumidor,Elementos de oficina,Organizadores,Project Tote Personal File,Caja pequena,27/06/2018
1256,Baja,17,"3.888,24","0,040",Aereo regular,"0,36","1296,08","238,25","152,48","6,50",Henry Goldwyn,Paraguay,Negocio,Tecnologia,Perifericos,Adesso Programmable 142-Key Keyboard,Caja pequena,16/10/2019
1257,Baja,29,"223,36","0,010",Aereo regular,"0,36","78,9438","7,78","4,98","7,28",Henry Goldwyn,Paraguay,Negocio,Elementos de oficina,Papel,Xerox 1926,Caja pequena,21/10/2019
1258,Normal,47,"4.307,16","0,040",Aereo regular,"0,35","1390,8052","95,46","62,05","3,99",Sylvia Foulston,Peru,Corporativo,Elementos de oficina,Accesorios,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",Caja pequena,18/11/2017
1259,Regular,7,"3.294,95","0,040",Aereo expreso,"0,43","1338,5904","490,32","279,48","35,00",Bryan Davis,Peru,Corporativo,Elementos de oficina,Organizadores,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Caja larga,12/10/2019
1260,Regular,43,"680,15","0,050",Aereo regular,"0,52","336,5825","16,65","7,99","5,03",Steven Cartwright,Paraguay,Oficina en casa,Tecnologia,Telefonos,Bell Sonecor JB700 Caller ID,Caja mediana,20/08/2018
1261,Critica,17,"803,40","0,100",Aereo regular,"0,41","276,743","52,51","30,98","11,63",Ken Lonsdale,Paraguay,Consumidor,Elementos de oficina,Carpetas,GBC Linen Binding Covers,Caja pequena,31/08/2020
1262,Alta,40,"364,80","0,040",Aereo regular,"0,54",190,"9,50","4,37","5,15",Daniel Lacy,Bolivia,Negocio,Elementos de oficina,Accesorios,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",Caja pequena,22/08/2017
1263,Alta,8,"1.831,65","0,090",Aereo regular,"0,38","583,728","251,60","155,99","8,99",Daniel Lacy,Bolivia,Negocio,Tecnologia,Telefonos,CF 688,Caja pequena,23/08/2017
1264,Normal,36,"11.276,50","0,100",Terrestre,"0,48","4761,216","348,04","180,98","55,24",Roy French,Colombia,Consumidor,Elementos de oficina,Accesorios,Avanti 4.4 Cu. Ft. Refrigerator,Caja redonda,16/04/2019
1265,Baja,24,"2.216,22","0,040",Aereo regular,"0,47","992,6976","96,19","50,98","6,50",Craig Leslie,Bolivia,Consumidor,Tecnologia,Perifericos,Microsoft Natural Multimedia Keyboard,Caja pequena,3/10/2017
1266,Baja,41,"400,59","0,020",Aereo regular,"0,35","134,9146","9,97","6,48","5,14",Craig Leslie,Bolivia,Consumidor,Elementos de oficina,Papel,Xerox 23,Caja pequena,30/09/2017
1267,Baja,9,"45,75","0,030",Aereo regular,"0,38","16,4952","5,24","3,25","49,00",Christopher Conant,Bolivia,Consumidor,Elementos de oficina,Accesorios,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Caja larga,7/01/2019
1268,Baja,25,"2.710,32","0,040",Aereo regular,"0,46","1185,82","112,93","60,98","19,99",Christopher Conant,Bolivia,Consumidor,Elementos de oficina,Sobres,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",Caja pequena,7/01/2019
1269,Alta,41,"858,44","0,040",Aereo regular,"0,48","393,5016","21,81","11,34","5,01",Ionia McGrath,Colombia,Oficina en casa,Elementos de oficina,Papel,Xerox 188,Caja pequena,11/02/2017
1270,Regular,41,"4.294,75","0,090",Aereo regular,"0,38","1368,5841","115,11","71,37","69,00",Michelle Tran,Chile,Oficina en casa,Muebles,Mesas,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Caja larga,24/12/2017
1271,Alta,46,"361,13","0,010",Aereo regular,"0,55","196,9122","7,93","3,57","4,17",Alejandro Ballentine,Bolivia,Negocio,Elementos de oficina,Boligrafos,Barrel Sharpener,Paquete pequeno,20/05/2018
1272,Alta,42,"2.892,00","0,070",Aereo regular,"0,49","1306,0824","74,04","37,76","12,90",Alejandro Ballentine,Bolivia,Negocio,Elementos de oficina,Organizadores,"Companion Letter/Legal File, Black",Caja pequena,20/05/2018
1273,Alta,35,"7.907,52","0,020",Terrestre,"0,46","3550,372","230,54","124,49","51,94",Alejandro Ballentine,Bolivia,Negocio,Muebles,Mesas,Bevis 36 x 72 Conference Tables,Caja grande,21/05/2018
1274,Normal,38,"5.605,76","0,000",Terrestre,"0,39","2186,14","147,52","89,99","42,00",Giulietta Dortch,Peru,Corporativo,Muebles,Tapetes,"Global Leather Task Chair, Black",Caja redonda,31/08/2018
1275,Critica,36,"2.548,24","0,050",Aereo regular,"0,37","858,402","74,51","46,94","6,77",Daniel Lacy,Chile,Negocio,Muebles,Mobiliario,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Caja pequena,1/02/2020
1276,Normal,24,"215,98","0,010",Aereo expreso,"0,46","98,1384","9,09","4,91","0,50",Craig Leslie,Paraguay,Consumidor,Elementos de oficina,Etiquetas,Avery 478,Caja pequena,16/05/2018
1277,Critica,31,"302,88","0,080",Aereo expreso,"0,39","102,0024","10,62","6,48","6,81",Alan Hwang,Argentina,Negocio,Elementos de oficina,Papel,Xerox 1930,Caja pequena,25/02/2020
1278,Critica,24,"112,66","0,020",Aereo regular,"0,42","45,9408","4,79","2,78","0,97",Alan Hwang,Argentina,Negocio,Elementos de oficina,Boligrafos,Newell 339,Bolsa,25/02/2020
1279,Critica,3,"245,88","0,060",Aereo regular,"0,53","122,9358","87,19","40,98","2,99",David Philippe,Colombia,Consumidor,Elementos de oficina,Carpetas,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Caja pequena,4/01/2017
1280,Critica,26,"233,06","0,100",Aereo regular,"0,50","103,584","9,96","4,98","0,80",Tonja Turnell,Bolivia,Consumidor,Elementos de oficina,Papel,Rediform S.O.S. Phone Message Books,Bolsa,5/04/2019
1281,Regular,43,"2.307,21","0,050",Terrestre,"0,54","1190,068","56,48","25,98","14,36",Steven Cartwright,Paraguay,Oficina en casa,Muebles,Tapetes,"Global Stack Chair without Arms, Black",Caja redonda,19/05/2020
1282,Baja,18,"2.535,95","0,090",Aereo regular,"0,38","808,1316","154,82","95,99","35,00",Christy Brittain,Peru,Consumidor,Elementos de oficina,Organizadores,Safco Industrial Wire Shelving,Caja larga,8/12/2019
1283,Baja,31,"7.505,08","0,020",Aereo regular,"0,49","3599,3852","247,04","125,99","8,99",Christy Brittain,Peru,Consumidor,Tecnologia,Telefonos,SC7868i,Caja pequena,6/12/2019
1284,Baja,31,"192,43","0,010",Aereo regular,"0,37","69,9763","6,27","3,95","5,13",Michelle Tran,Chile,Corporativo,Elementos de oficina,Accesorios,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",Caja pequena,18/08/2020
1285,Critica,13,"2.577,28","0,100",Terrestre,"0,36","744,536","220,28","140,98","53,48",Darren Budd,Argentina,Corporativo,Muebles,Librerias,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Caja grande,1/11/2020
1286,Critica,2,"536,87","0,100",Aereo regular,"0,42","190,888","298,26","172,99","19,99",Darren Budd,Argentina,Corporativo,Muebles,Mobiliario,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Caja mediana,2/11/2020
1287,Regular,11,"136,26","0,070",Aereo regular,"0,43","52,7736","13,32","7,59","4,00",John Dryer,Paraguay,Corporativo,Muebles,Mobiliario,"Master Giant Foot Doorstop, Safety Yellow",Bolsa,18/03/2017
1288,Critica,12,"2.533,46","0,100",Aereo regular,"0,35","703,704","234,58","152,48","4,00",Vicky Freymann,Bolivia,Oficina en casa,Tecnologia,Perifericos,Adesso Programmable 142-Key Keyboard,Caja pequena,7/05/2020
1289,Critica,17,"82,04","0,050",Aereo regular,"0,38","28,492","5,08","3,15","0,49",Greg Tran,Chile,Oficina en casa,Elementos de oficina,Etiquetas,Self-Adhesive Removable Labels,Caja pequena,19/06/2019
1290,Regular,3,"35,02","0,100",Aereo regular,"0,38","10,899","12,97","8,04","8,94",Jonathan Doherty,Paraguay,Corporativo,Elementos de oficina,Carpetas,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Caja pequena,13/10/2020
1291,Regular,34,"955,10","0,030",Aereo regular,"0,43","393,7608","28,96","16,51","2,99",Jonathan Doherty,Paraguay,Corporativo,Elementos de oficina,Carpetas,JM Magazine Binder,Caja pequena,12/10/2020
1292,Regular,31,"744,60","0,040",Aereo regular,"0,38","263,7852","25,02","15,51","17,78",Jonathan Doherty,Paraguay,Corporativo,Elementos de oficina,Organizadores,"Tenex File Box, Personal Filing Tote with Lid, Black",Caja pequena,13/10/2020
1293,Regular,10,"229,82","0,080",Aereo expreso,"0,36","69,916","24,98","15,99","13,18",Ruben Dartt,Bolivia,Corporativo,Elementos de oficina,Carpetas,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Caja pequena,27/05/2017
1294,Alta,48,"772,76","0,040",Aereo regular,"0,38","273,5616","16,77","10,40","5,40",Philip Brown,Argentina,Corporativo,Muebles,Mobiliario,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",Paquete pequeno,29/03/2017
1295,Alta,48,"370,50","0,080",Aereo regular,"0,49","165,0624","8,39","4,28","4,79",Philip Brown,Argentina,Corporativo,Elementos de oficina,Papel,Xerox 1962,Caja pequena,30/03/2017
1296,Normal,17,"4.646,84","0,050",Aereo regular,"0,51","2250,0095","287,73","140,99","4,20",Sung Pak,Bolivia,Negocio,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,27/11/2020
1297,Alta,2,"518,97","0,030",Aereo regular,"0,43","214,0094","267,51","152,48","4,00",Maribeth Dona,Bolivia,Oficina en casa,Tecnologia,Perifericos,Adesso Programmable 142-Key Keyboard,Caja pequena,9/06/2020
1298,Alta,5,"291,02","0,100",Aereo regular,"0,49","126,115","64,67","32,98","5,50",Maribeth Dona,Bolivia,Oficina en casa,Tecnologia,Perifericos,PC Concepts 116 Key Quantum 3000 Keyboard,Caja pequena,10/06/2020
1299,Regular,36,"24.094,12","0,020",Terrestre,"0,53","12538,8432","682,94","320,98","58,95",Joy Bell,Peru,Oficina en casa,Muebles,Tapetes,Hon 4070 Series Pagoda Round Back Stacking Chairs,Caja redonda,8/10/2020
1300,Regular,5,"158,09","0,100",Aereo expreso,"0,46","63,235","35,13","18,97","5,21",Joy Bell,Peru,Oficina en casa,Elementos de oficina,Papel,Xerox 1887,Caja pequena,8/10/2020
1301,Regular,32,"2.473,99","0,020",Aereo regular,"0,38","908,8704","78,89","48,91","5,81",Joy Bell,Peru,Oficina en casa,Elementos de oficina,Papel,Xerox 1891,Caja pequena,7/10/2020
1302,Regular,6,"1.630,58","0,100",Terrestre,"0,50","724,704","301,96","150,98","66,27",Jennifer Braxton,Colombia,Negocio,Muebles,Librerias,Bush Mission Pointe Library,Caja grande,15/02/2019
1303,Regular,43,"257,55","0,010",Aereo regular,"0,37","93,7185","6,05","3,81","5,44",Jennifer Braxton,Colombia,Negocio,Elementos de oficina,Carpetas,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",Caja pequena,15/02/2019
1304,Regular,46,"7.352,18","0,000",Aereo regular,"0,52","3823,06","159,83","76,72","19,95",John Lucas,Argentina,Corporativo,Elementos de oficina,Accesorios,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,Caja larga,9/03/2018
1305,Normal,41,"218,12","0,000",Aereo regular,"0,41","89,38","5,32","3,14","1,92",Emily Grady,Bolivia,Oficina en casa,Elementos de oficina,Tijeras,Serrated Blade or Curved Handle Hand Letter Openers,Bolsa,14/06/2020
1306,Normal,21,"216,42","0,010",Aereo expreso,"0,39","83,0739","10,41","6,35","1,02",Emily Grady,Bolivia,Oficina en casa,Elementos de oficina,Papel,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Bolsa,14/06/2020
1307,Normal,40,"742,62","0,080",Aereo regular,"0,43","282,624","20,18","11,50","7,19",Joy Smith,Colombia,Corporativo,Elementos de oficina,Carpetas,Ibico Covers for Plastic or Wire Binding Elements,Caja pequena,31/07/2019
